transfers	n_species	sample	well	strep_conc	replicate	OD
1	3	3_p08_D04	D4	256	2	1.415
1	3	3_p08_E04	E4	256	2	0.957
1	3	3_p08_F04	F4	256	2	0.963
1	3	3_p08_G04	G4	256	2	0.917
1	3	3_p08_H04	H4	256	2	0.727
1	3	3_p08_A05	A5	256	2	1.031
1	3	3_p08_B05	B5	256	2	1.029
1	3	3_p08_C05	C5	256	2	0.811
1	3	3_p08_D05	D5	256	2	0.814
1	3	3_p08_E05	E5	256	2	0.298
1	3	3_p08_F05	F5	256	2	0.374
1	3	3_p08_G05	G5	256	2	0.977
1	3	3_p08_H05	H5	256	2	0.922
1	3	3_p08_A06	A6	256	2	0.997
1	3	3_p08_B06	B6	256	2	0.907
1	3	3_p08_C06	C6	256	2	0.685
1	3	3_p08_D06	D6	256	2	0.760
1	3	3_p08_E06	E6	256	2	0.313
1	3	3_p08_F06	F6	256	2	0.367
1	3	3_p08_G06	G6	256	2	0.861
1	3	3_p08_H06	H6	256	2	0.781
1	3	3_p08_A07	A7	256	2	1.026
1	3	3_p08_B07	B7	256	2	0.933
1	3	3_p08_C07	C7	256	2	0.782
1	3	3_p08_D07	D7	256	2	0.768
1	3	3_p08_E07	E7	256	2	0.752
1	3	3_p08_F07	F7	256	2	0.640
1	3	3_p08_G07	G7	256	2	0.979
1	3	3_p08_H07	H7	256	2	0.849
1	3	3_p08_A08	A8	256	2	1.012
1	3	3_p08_B08	B8	256	2	0.925
1	3	3_p08_C08	C8	256	2	0.726
1	3	3_p08_D08	D8	256	2	0.840
1	3	3_p08_E08	E8	256	2	0.664
1	3	3_p08_F08	F8	256	2	0.709
1	3	3_p08_G08	G8	256	2	0.978
1	3	3_p08_H08	H8	256	2	0.945
1	3	3_p08_A09	A9	256	2	0.279
1	3	3_p08_B09	B9	256	2	0.401
1	3	3_p08_C09	C9	256	2	0.775
1	3	3_p08_D09	D9	256	2	0.908
1	3	3_p08_E09	E9	256	2	0.780
1	3	3_p08_F09	F9	256	2	0.789
1	3	3_p08_G09	G9	256	2	0.997
1	3	3_p08_H09	H9	256	2	0.616
1	3	3_p08_A10	A10	256	2	0.347
1	3	3_p08_B10	B10	256	2	0.346
1	3	3_p08_C10	C10	256	2	0.795
1	3	3_p08_D10	D10	256	2	0.850
1	3	3_p08_E10	E10	256	2	0.968
1	3	3_p08_F10	F10	256	2	1.117
1	3	3_p08_G10	G10	256	2	0.961
1	3	3_p08_H10	H10	256	2	0.669
1	3	3_p08_A11	A11	256	2	0.302
1	3	3_p08_B11	B11	256	2	0.411
1	3	3_p08_C11	C11	256	2	0.899
1	3	3_p08_D11	D11	256	2	0.907
1	3	3_p08_E11	E11	256	2	0.803
1	3	3_p08_F11	F11	256	2	0.892
1	3	3_p08_G11	G11	256	2	1.133
1	3	3_p08_H11	H11	256	2	0.767
1	3	3_p08_A12	A12	256	2	0.332
1	3	3_p08_B12	B12	256	2	0.409
1	3	3_p08_C12	C12	256	2	1.009
1	3	3_p08_D12	D12	256	2	0.969
1	3	3_p08_E12	E12	256	2	0.871
1	3	3_p08_F12	F12	256	2	0.908
