transfer	n_species	sample	well	strep_conc	replicate	OD
3	3	3_p01_E11	E11	0	1	0.352
3	3	3_p01_F11	F11	0	1	0.355
3	3	3_p01_G11	G11	0	1	0.327
3	3	3_p01_H11	H11	0	1	0.271
3	3	3_p01_A12	A12	0	1	0.376
3	3	3_p01_B12	B12	0	1	0.417
3	3	3_p01_C12	C12	0	1	0.339
3	3	3_p01_D12	D12	0	1	0.346
3	3	3_p01_E12	E12	0	1	0.336
3	3	3_p01_F12	F12	0	1	0.328
3	3	3_p01_G12	G12	0	1	0.341
3	3	3_p01_H12	H12	0	1	0.326
3	3	3_p02_A01	A1	0	2	0.339
3	3	3_p02_B01	B1	0	2	0.334
3	3	3_p02_C01	C1	0	2	0.281
3	3	3_p02_D01	D1	0	2	0.326
3	3	3_p02_E01	E1	0	2	0.350
3	3	3_p02_F01	F1	0	2	0.328
3	3	3_p02_G01	G1	0	2	0.355
3	3	3_p02_H01	H1	0	2	0.364
3	3	3_p02_A02	A2	0	2	0.311
3	3	3_p02_B02	B2	0	2	0.312
3	3	3_p02_C02	C2	0	2	0.335
3	3	3_p02_D02	D2	0	2	0.334
3	3	3_p02_E02	E2	0	2	0.337
3	3	3_p02_F02	F2	0	2	0.316
3	3	3_p02_G02	G2	0	2	0.325
3	3	3_p02_H02	H2	0	2	0.351
3	3	3_p02_A03	A3	0	2	0.312
3	3	3_p02_B03	B3	0	2	0.328
3	3	3_p02_C03	C3	0	2	0.333
3	3	3_p02_D03	D3	0	2	0.265
3	3	3_p02_E03	E3	0	2	0.318
3	3	3_p02_F03	F3	0	2	0.324
3	3	3_p02_G03	G3	0	2	0.391
3	3	3_p02_H03	H3	0	2	0.357
3	3	3_p02_A04	A4	0	2	0.315
3	3	3_p02_B04	B4	0	2	0.314
3	3	3_p02_C04	C4	0	2	0.302
3	3	3_p02_D04	D4	0	2	0.287
3	3	3_p02_E04	E4	0	2	0.315
3	3	3_p02_F04	F4	0	2	0.321
