transfers	n_species	well	strep_conc	replicate	OD
3	4	A3	0	2	0.041
5	4	A3	0	2	0.042
7	4	A3	0	2	0.04
8	4	A3	0	2	0.042
1	3	A3	16	1	0.863
3	3	A3	16	1	0.339
5	3	A3	16	1	0.332
7	3	A3	16	1	0.305
8	3	A3	16	1	0.293
1	3	A3	16	2	0.833
3	3	A3	16	2	0.326
5	3	A3	16	2	0.334
7	3	A3	16	2	0.34
8	3	A3	16	2	0.293
1	4	A3	16	1	0.041
3	4	A3	16	1	0.039
5	4	A3	16	1	0.042
7	4	A3	16	1	0.042
8	4	A3	16	1	0.04
1	4	A3	16	2	0.045
3	4	A3	16	2	0.040
5	4	A3	16	2	0.041
7	4	A3	16	2	0.041
8	4	A3	16	2	0.039
1	3	A3	64	1	0.889
3	3	A3	64	1	0.334
5	3	A3	64	1	0.325
7	3	A3	64	1	0.334
8	3	A3	64	1	0.308
1	3	A3	64	2	0.886
3	3	A3	64	2	0.336
5	3	A3	64	2	0.338
7	3	A3	64	2	0.307
8	3	A3	64	2	0.279
1	4	A3	64	1	0.039
3	4	A3	64	1	0.048
5	4	A3	64	1	0.039
7	4	A3	64	1	0.05
8	4	A3	64	1	0.042
1	4	A3	64	2	0.042
3	4	A3	64	2	0.040
5	4	A3	64	2	0.039
7	4	A3	64	2	0.038
8	4	A3	64	2	0.038
1	3	A3	256	1	0.804
3	3	A3	256	1	0.300
5	3	A3	256	1	0.279
7	3	A3	256	1	0.316
8	3	A3	256	1	0.314
1	3	A3	256	2	0.799
3	3	A3	256	2	0.295
5	3	A3	256	2	0.317
7	3	A3	256	2	0.339
8	3	A3	256	2	0.309
1	4	A3	256	1	0.041
3	4	A3	256	1	0.041
5	4	A3	256	1	0.041
7	4	A3	256	1	0.037
8	4	A3	256	1	0.039
1	4	A3	256	2	0.041
3	4	A3	256	2	0.044
5	4	A3	256	2	0.044
7	4	A3	256	2	0.04
8	4	A3	256	2	0.041
1	3	A4	0	1	0.988
3	3	A4	0	1	0.333
5	3	A4	0	1	0.328
7	3	A4	0	1	0.32
8	3	A4	0	1	0.289
1	3	A4	0	2	0.910
3	3	A4	0	2	0.315
5	3	A4	0	2	0.292
7	3	A4	0	2	0.292
8	3	A4	0	2	0.307
1	4	A4	0	1	0.044
3	4	A4	0	1	0.042
5	4	A4	0	1	0.039
7	4	A4	0	1	0.04
8	4	A4	0	1	0.043
1	4	A4	0	2	0.041
3	4	A4	0	2	0.044
5	4	A4	0	2	0.044
7	4	A4	0	2	0.041
8	4	A4	0	2	0.043
1	3	A4	16	1	0.910
3	3	A4	16	1	0.314
5	3	A4	16	1	0.319
7	3	A4	16	1	0.302
8	3	A4	16	1	0.282
1	3	A4	16	2	0.948
3	3	A4	16	2	0.328
5	3	A4	16	2	0.323
7	3	A4	16	2	0.314
8	3	A4	16	2	0.286
1	4	A4	16	1	0.043
3	4	A4	16	1	0.039
5	4	A4	16	1	0.044
7	4	A4	16	1	0.041
8	4	A4	16	1	0.041
1	4	A4	16	2	0.044
3	4	A4	16	2	0.044
5	4	A4	16	2	0.041
7	4	A4	16	2	0.04
8	4	A4	16	2	0.042
1	3	A4	64	1	0.791
3	3	A4	64	1	0.327
5	3	A4	64	1	0.309
7	3	A4	64	1	0.328
8	3	A4	64	1	0.309
1	3	A4	64	2	0.983
3	3	A4	64	2	0.292
5	3	A4	64	2	0.318
7	3	A4	64	2	0.314
8	3	A4	64	2	0.276
1	4	A4	64	1	0.040
3	4	A4	64	1	0.050
5	4	A4	64	1	0.04
7	4	A4	64	1	0.054
8	4	A4	64	1	0.043
1	4	A4	64	2	0.044
3	4	A4	64	2	0.042
5	4	A4	64	2	0.04
7	4	A4	64	2	0.038
8	4	A4	64	2	0.039
1	3	A4	256	1	1.126
3	3	A4	256	1	0.308
5	3	A4	256	1	0.333
7	3	A4	256	1	0.335
8	3	A4	256	1	0.306
1	3	A4	256	2	0.933
3	3	A4	256	2	0.307
5	3	A4	256	2	0.329
7	3	A4	256	2	0.347
8	3	A4	256	2	0.302
1	4	A4	256	1	0.045
3	4	A4	256	1	0.042
5	4	A4	256	1	0.041
7	4	A4	256	1	0.039
8	4	A4	256	1	0.04
1	4	A4	256	2	0.043
3	4	A4	256	2	0.044
5	4	A4	256	2	0.044
7	4	A4	256	2	0.041
8	4	A4	256	2	0.05
1	3	A5	0	1	0.999
3	3	A5	0	1	0.341
5	3	A5	0	1	0.274
7	3	A5	0	1	0.279
8	3	A5	0	1	0.277
1	3	A5	0	2	0.982
3	3	A5	0	2	0.324
5	3	A5	0	2	0.306
7	3	A5	0	2	0.327
8	3	A5	0	2	0.322
1	4	A5	0	1	1.030
3	4	A5	0	1	0.348
5	4	A5	0	1	0.355
7	4	A5	0	1	0.353
8	4	A5	0	1	0.326
1	4	A5	0	2	0.896
3	4	A5	0	2	0.352
5	4	A5	0	2	0.345
7	4	A5	0	2	0.315
8	4	A5	0	2	0.296
1	3	A5	16	1	0.950
3	3	A5	16	1	0.301
5	3	A5	16	1	0.318
7	3	A5	16	1	0.319
8	3	A5	16	1	0.308
1	3	A5	16	2	0.949
3	3	A5	16	2	0.327
5	3	A5	16	2	0.325
7	3	A5	16	2	0.325
8	3	A5	16	2	0.282
1	4	A5	16	1	0.905
3	4	A5	16	1	0.307
5	4	A5	16	1	0.285
7	4	A5	16	1	0.276
8	4	A5	16	1	0.251
1	4	A5	16	2	0.983
3	4	A5	16	2	0.300
5	4	A5	16	2	0.289
7	4	A5	16	2	0.292
8	4	A5	16	2	0.283
1	3	A5	64	1	0.908
3	3	A5	64	1	0.312
5	3	A5	64	1	0.311
7	3	A5	64	1	0.314
8	3	A5	64	1	0.293
1	3	A5	64	2	1.023
3	3	A5	64	2	0.294
5	3	A5	64	2	0.318
7	3	A5	64	2	0.307
8	3	A5	64	2	0.278
1	4	A5	64	1	0.960
3	4	A5	64	1	0.297
5	4	A5	64	1	0.285
7	4	A5	64	1	0.288
8	4	A5	64	1	0.282
1	4	A5	64	2	0.893
3	4	A5	64	2	0.288
5	4	A5	64	2	0.302
7	4	A5	64	2	0.297
8	4	A5	64	2	0.282
1	3	A5	256	1	0.972
3	3	A5	256	1	0.277
5	3	A5	256	1	0.272
7	3	A5	256	1	0.303
8	3	A5	256	1	0.3
1	3	A5	256	2	1.031
3	3	A5	256	2	0.267
5	3	A5	256	2	0.284
7	3	A5	256	2	0.31
8	3	A5	256	2	0.285
1	4	A5	256	1	0.887
3	4	A5	256	1	0.262
5	4	A5	256	1	0.245
7	4	A5	256	1	0.282
8	4	A5	256	1	0.252
1	4	A5	256	2	0.873
3	4	A5	256	2	0.258
5	4	A5	256	2	0.247
7	4	A5	256	2	0.255
8	4	A5	256	2	0.241
1	3	A6	0	1	0.967
3	3	A6	0	1	0.346
5	3	A6	0	1	0.334
7	3	A6	0	1	0.329
8	3	A6	0	1	0.291
1	3	A6	0	2	1.002
3	3	A6	0	2	0.317
5	3	A6	0	2	0.311
7	3	A6	0	2	0.293
8	3	A6	0	2	0.297
1	4	A6	0	1	1.047
3	4	A6	0	1	0.313
5	4	A6	0	1	0.317
7	4	A6	0	1	0.298
8	4	A6	0	1	0.295
1	4	A6	0	2	0.978
3	4	A6	0	2	0.315
5	4	A6	0	2	0.302
7	4	A6	0	2	0.304
8	4	A6	0	2	0.273
1	3	A6	16	1	0.932
3	3	A6	16	1	0.319
5	3	A6	16	1	0.321
7	3	A6	16	1	0.315
8	3	A6	16	1	0.304
1	3	A6	16	2	1.000
3	3	A6	16	2	0.326
5	3	A6	16	2	0.319
7	3	A6	16	2	0.296
8	3	A6	16	2	0.249
1	4	A6	16	1	0.910
3	4	A6	16	1	0.303
5	4	A6	16	1	0.298
7	4	A6	16	1	0.297
8	4	A6	16	1	0.271
1	4	A6	16	2	0.917
3	4	A6	16	2	0.294
5	4	A6	16	2	0.276
7	4	A6	16	2	0.27
8	4	A6	16	2	0.258
1	3	A6	64	1	0.829
3	3	A6	64	1	0.322
5	3	A6	64	1	0.317
7	3	A6	64	1	0.314
8	3	A6	64	1	0.294
1	3	A6	64	2	1.020
3	3	A6	64	2	0.308
5	3	A6	64	2	0.325
7	3	A6	64	2	0.305
8	3	A6	64	2	0.282
1	4	A6	64	1	0.903
3	4	A6	64	1	0.297
5	4	A6	64	1	0.281
7	4	A6	64	1	0.274
8	4	A6	64	1	0.25
1	4	A6	64	2	0.962
3	4	A6	64	2	0.298
5	4	A6	64	2	0.3
7	4	A6	64	2	0.297
8	4	A6	64	2	0.281
1	3	A6	256	1	0.935
3	3	A6	256	1	0.278
5	3	A6	256	1	0.273
7	3	A6	256	1	0.288
8	3	A6	256	1	0.293
1	3	A6	256	2	0.997
3	3	A6	256	2	0.278
5	3	A6	256	2	0.283
7	3	A6	256	2	0.305
8	3	A6	256	2	0.279
1	4	A6	256	1	0.921
3	4	A6	256	1	0.287
5	4	A6	256	1	0.282
7	4	A6	256	1	0.318
8	4	A6	256	1	0.286
1	4	A6	256	2	0.884
3	4	A6	256	2	0.288
5	4	A6	256	2	0.285
7	4	A6	256	2	0.303
8	4	A6	256	2	0.295
1	3	A7	0	1	0.952
3	3	A7	0	1	0.346
5	3	A7	0	1	0.333
7	3	A7	0	1	0.324
8	3	A7	0	1	0.272
1	3	A7	0	2	0.938
3	3	A7	0	2	0.323
5	3	A7	0	2	0.317
7	3	A7	0	2	0.335
8	3	A7	0	2	0.325
1	4	A7	0	1	1.015
3	4	A7	0	1	0.312
5	4	A7	0	1	0.319
7	4	A7	0	1	0.302
8	4	A7	0	1	0.283
1	4	A7	0	2	0.872
3	4	A7	0	2	0.318
5	4	A7	0	2	0.301
7	4	A7	0	2	0.305
8	4	A7	0	2	0.283
1	3	A7	16	1	0.956
3	3	A7	16	1	0.320
5	3	A7	16	1	0.327
7	3	A7	16	1	0.314
8	3	A7	16	1	0.284
1	3	A7	16	2	0.993
3	3	A7	16	2	0.328
5	3	A7	16	2	0.334
7	3	A7	16	2	0.329
8	3	A7	16	2	0.277
1	4	A7	16	1	0.904
3	4	A7	16	1	0.308
5	4	A7	16	1	0.295
7	4	A7	16	1	0.311
8	4	A7	16	1	0.276
1	4	A7	16	2	0.941
3	4	A7	16	2	0.301
5	4	A7	16	2	0.301
7	4	A7	16	2	0.307
8	4	A7	16	2	0.28
1	3	A7	64	1	0.870
3	3	A7	64	1	0.322
5	3	A7	64	1	0.318
7	3	A7	64	1	0.316
8	3	A7	64	1	0.298
1	3	A7	64	2	1.041
3	3	A7	64	2	0.305
5	3	A7	64	2	0.322
7	3	A7	64	2	0.309
8	3	A7	64	2	0.285
1	4	A7	64	1	0.903
3	4	A7	64	1	0.300
5	4	A7	64	1	0.287
7	4	A7	64	1	0.293
8	4	A7	64	1	0.282
1	4	A7	64	2	0.946
3	4	A7	64	2	0.307
5	4	A7	64	2	0.305
7	4	A7	64	2	0.28
8	4	A7	64	2	0.256
1	3	A7	256	1	0.899
3	3	A7	256	1	0.330
5	3	A7	256	1	0.295
7	3	A7	256	1	0.337
8	3	A7	256	1	0.335
1	3	A7	256	2	1.026
3	3	A7	256	2	0.337
5	3	A7	256	2	0.307
7	3	A7	256	2	0.342
8	3	A7	256	2	0.324
1	4	A7	256	1	0.754
3	4	A7	256	1	0.304
5	4	A7	256	1	0.294
7	4	A7	256	1	0.327
8	4	A7	256	1	0.303
1	4	A7	256	2	0.749
3	4	A7	256	2	0.307
5	4	A7	256	2	0.298
7	4	A7	256	2	0.32
8	4	A7	256	2	0.31
1	3	A8	0	1	0.946
3	3	A8	0	1	0.344
5	3	A8	0	1	0.325
7	3	A8	0	1	0.321
8	3	A8	0	1	0.296
1	3	A8	0	2	1.021
3	3	A8	0	2	0.316
5	3	A8	0	2	0.309
7	3	A8	0	2	0.314
8	3	A8	0	2	0.319
1	4	A8	0	1	1.103
3	4	A8	0	1	0.313
5	4	A8	0	1	0.316
7	4	A8	0	1	0.289
8	4	A8	0	1	0.295
1	4	A8	0	2	0.907
3	4	A8	0	2	0.318
5	4	A8	0	2	0.308
7	4	A8	0	2	0.312
8	4	A8	0	2	0.288
1	3	A8	16	1	0.975
3	3	A8	16	1	0.305
5	3	A8	16	1	0.323
7	3	A8	16	1	0.324
8	3	A8	16	1	0.306
1	3	A8	16	2	1.040
3	3	A8	16	2	0.329
5	3	A8	16	2	0.33
7	3	A8	16	2	0.323
8	3	A8	16	2	0.278
1	4	A8	16	1	0.905
3	4	A8	16	1	0.307
5	4	A8	16	1	0.302
7	4	A8	16	1	0.296
8	4	A8	16	1	0.277
1	4	A8	16	2	0.939
3	4	A8	16	2	0.294
5	4	A8	16	2	0.298
7	4	A8	16	2	0.303
8	4	A8	16	2	0.296
1	3	A8	64	1	0.806
3	3	A8	64	1	0.325
5	3	A8	64	1	0.314
7	3	A8	64	1	0.318
8	3	A8	64	1	0.292
1	3	A8	64	2	1.002
3	3	A8	64	2	0.290
5	3	A8	64	2	0.328
7	3	A8	64	2	0.3
8	3	A8	64	2	0.278
1	4	A8	64	1	0.959
3	4	A8	64	1	0.298
5	4	A8	64	1	0.28
7	4	A8	64	1	0.296
8	4	A8	64	1	0.278
1	4	A8	64	2	0.916
3	4	A8	64	2	0.306
5	4	A8	64	2	0.297
7	4	A8	64	2	0.301
8	4	A8	64	2	0.279
1	3	A8	256	1	0.991
3	3	A8	256	1	0.315
5	3	A8	256	1	0.329
7	3	A8	256	1	0.347
8	3	A8	256	1	0.292
1	3	A8	256	2	1.012
3	3	A8	256	2	0.312
5	3	A8	256	2	0.332
7	3	A8	256	2	0.35
8	3	A8	256	2	0.311
1	4	A8	256	1	0.864
3	4	A8	256	1	0.328
5	4	A8	256	1	0.304
7	4	A8	256	1	0.343
8	4	A8	256	1	0.309
1	4	A8	256	2	0.974
3	4	A8	256	2	0.306
5	4	A8	256	2	0.315
7	4	A8	256	2	0.341
8	4	A8	256	2	0.332
1	3	A9	0	1	0.930
3	3	A9	0	1	0.406
5	3	A9	0	1	0.388
7	3	A9	0	1	0.378
8	3	A9	0	1	0.368
1	3	A9	0	2	0.858
3	3	A9	0	2	0.378
5	3	A9	0	2	0.371
7	3	A9	0	2	0.38
8	3	A9	0	2	0.39
1	4	A9	0	1	0.917
3	4	A9	0	1	0.376
5	4	A9	0	1	0.389
7	4	A9	0	1	0.356
8	4	A9	0	1	0.36
1	4	A9	0	2	0.872
3	4	A9	0	2	0.388
5	4	A9	0	2	0.368
7	4	A9	0	2	0.377
8	4	A9	0	2	0.354
1	3	A9	16	1	0.320
3	3	A9	16	1	0.240
5	3	A9	16	1	0.274
7	3	A9	16	1	0.333
8	3	A9	16	1	0.34
1	3	A9	16	2	0.325
3	3	A9	16	2	0.246
5	3	A9	16	2	0.302
7	3	A9	16	2	0.324
8	3	A9	16	2	0.308
1	4	A9	16	1	0.667
3	4	A9	16	1	0.268
5	4	A9	16	1	0.268
7	4	A9	16	1	0.255
8	4	A9	16	1	0.256
1	4	A9	16	2	0.766
3	4	A9	16	2	0.251
5	4	A9	16	2	0.26
7	4	A9	16	2	0.27
8	4	A9	16	2	0.26
1	3	A9	64	1	0.296
3	3	A9	64	1	0.254
5	3	A9	64	1	0.282
7	3	A9	64	1	0.293
8	3	A9	64	1	0.274
1	3	A9	64	2	0.311
3	3	A9	64	2	0.239
5	3	A9	64	2	0.282
