plate_name	plate_number	bioscreen_well	replicate	sp_hist	strep_conc	sp_filtrate	y0	mumax	K	alpha	lambda	r2
bioscreen_strep_01	2	110	5	ANC_1287	64	NA	0.08518026774824489	0.4855088206086028	0.6082066685509037	2.765689688244481	5.286262829142811	0.99765689742682
bioscreen_strep_01	2	111	1	ANC_1896	64	NA	0.08509743229303765	0.23306764003856362	0.5122148375594507	1.5891870228190312	9.54012461543104	0.9991752661762501
bioscreen_strep_01	2	112	2	ANC_1896	64	NA	0.08475448942585363	0.23997083345672698	0.5047789400486162	1.4764828136430321	9.590256152715762	0.999330137653957
bioscreen_strep_01	2	113	3	ANC_1896	64	NA	0.08494508710123391	0.24228230151598512	0.5081208638104872	1.504809840479383	9.60408414829589	0.9993171183686947
bioscreen_strep_01	2	114	4	ANC_1896	64	NA	0.08446361100351665	0.2422268238098695	0.5063268807808917	1.5301604911108801	9.625188337766009	0.9992819514443297
bioscreen_strep_01	2	115	5	ANC_1896	64	NA	0.08439856663992691	0.23111074927126765	0.5164079076912402	1.6424428060626812	9.438334829058292	0.9991758268775353
bioscreen_strep_01	2	116	1	ANC_1977	64	NA	0.08254522455420094	0.15462190389254524	0.08613841091667784	14.999997888653546	0.030015520229058096	0.9111608990788809
bioscreen_strep_01	2	117	2	ANC_1977	64	NA	0.08322445595419761	0.19256935523047797	0.08603521601814317	0.10000045310167202	0.030015127224126203	0.8852210215293962
bioscreen_strep_01	2	118	3	ANC_1977	64	NA	0.08405536164844435	0.16505461457485718	0.0869849949947586	0.10000071891880649	0.030039543926758033	0.9319057746950559
bioscreen_strep_01	2	119	4	ANC_1977	64	NA	0.08383389531031149	0.12233591378425873	0.08665933249847813	14.999987650343611	0.030008603381808458	0.9194537977195234
bioscreen_strep_01	1	12	2	ANC_1896	0	NA	0.08461559882936961	0.22347590695224942	0.5271909116055706	1.637167800733031	9.185593634752133	0.9989089331578072
bioscreen_strep_01	2	120	5	ANC_1977	64	NA	0.0840615774613781	0.4031231554733065	0.08702897017891834	0.1000014511886986	6.683929357751134	0.6760174259749153
bioscreen_strep_01	2	121	1	ANC_0403	128	NA	0.08456166612296172	0.041620448872128846	0.09007757351874451	14.999981030398544	0.03001681489887618	0.9368429815083371
bioscreen_strep_01	2	122	2	ANC_0403	128	NA	0.08298620282241437	0.2507607738581496	0.08608221468602031	0.10000074311188864	0.030042864260768833	0.9412706376602635
bioscreen_strep_01	2	123	3	ANC_0403	128	NA	0.0828757871907735	0.18238532986441158	0.08600351771197991	0.10000102134848231	0.030054064553069044	0.89506089558817
bioscreen_strep_01	2	124	4	ANC_0403	128	NA	0.08318303795124957	0.10247769942404424	0.086687744930605	14.99970765485625	0.030154005347051538	0.8711756004404113
bioscreen_strep_01	2	125	5	ANC_0403	128	NA	0.08234044686137491	0.2930474110142829	0.0859969545701022	0.10000026683328554	0.03003595396174712	0.9189600130751241
bioscreen_strep_01	2	126	1	ANC_1287	128	NA	0.08304844577816418	0.47590500524169727	0.529412258613687	1.3935989494189804	5.764812578699426	0.9973492347550774
bioscreen_strep_01	2	127	2	ANC_1287	128	NA	0.08369889646982914	0.48795602599758914	0.5385728218149085	1.7412371810182636	5.753613359738239	0.9967217706819705
bioscreen_strep_01	2	128	3	ANC_1287	128	NA	0.0836912557377231	0.503926917266722	0.5403190234045552	1.6712469160962902	5.840634569381733	0.9964547499605447
bioscreen_strep_01	2	129	4	ANC_1287	128	NA	0.08369485498060876	0.4711995709906885	0.546423778514845	1.4721632706132222	5.919793817607344	0.9968135508633014
bioscreen_strep_01	1	13	3	ANC_1896	0	NA	0.08480070290788862	0.22425151555107903	0.5311753002890697	1.6140746969995985	9.179158096469703	0.9990059078473538
bioscreen_strep_01	2	130	5	ANC_1287	128	NA	0.08458699656522543	0.452198816832717	0.5550046924185169	1.6876159490697882	5.680791137632154	0.9971101205445674
bioscreen_strep_01	2	131	1	ANC_1896	128	NA	0.08537939694760183	0.2407876376135701	0.4919590269275104	1.5449338578375076	9.790377749549743	0.9992337245564714
bioscreen_strep_01	2	132	2	ANC_1896	128	NA	0.08501936063076246	0.25929146377300244	0.4779193124180756	1.400910204603147	9.652678739042276	0.9992419011596412
bioscreen_strep_01	2	133	3	ANC_1896	128	NA	0.08551063072089271	0.26697110206191427	0.4904355637276283	1.3400851953283237	9.911582951280725	0.9994384877155181
bioscreen_strep_01	2	134	4	ANC_1896	128	NA	0.08465573729381172	0.2628064166403333	0.4796230147894461	1.3358887243942918	9.86360056179973	0.9993371188357681
bioscreen_strep_01	2	135	5	ANC_1896	128	NA	0.08480780769046689	0.2580757002712927	0.4767276944297021	1.3939443010416221	9.789163238262075	0.9993527097091226
bioscreen_strep_01	2	136	1	ANC_1977	128	NA	0.08287278045352464	0.1491863087920137	0.08632040630240097	14.99904944916207	0.030282397592813978	0.8974728590864364
bioscreen_strep_01	2	137	2	ANC_1977	128	NA	0.08295953682087712	0.2356289964670255	0.08607461310037702	0.1000003528318646	0.03001708213749319	0.9268612516282345
bioscreen_strep_01	2	138	3	ANC_1977	128	NA	0.08420992155058793	0.14960868706499014	0.08701259204351065	0.10000053309458386	0.030027327499259657	0.9080372497398979
bioscreen_strep_01	2	139	4	ANC_1977	128	NA	0.09482010985122923	0.11811677535724842	0.08745153487175988	14.99996260576508	14.999972050193346	0.8107651112561353
bioscreen_strep_01	1	14	4	ANC_1896	0	NA	0.08406789844305637	0.2228505862411325	0.5322177402686763	1.6764375197973294	9.218181628038325	0.99897411399576
bioscreen_strep_01	2	140	5	ANC_1977	128	NA	0.08509463283756372	0.06371560609758149	0.08837448341363466	14.999905964110413	0.030145839051797737	0.9461596338832399
bioscreen_strep_01	2	141	1	ANC_0403	256	NA	0.08462988809003325	0.06116775813145413	0.08906403760650697	14.999301350618797	0.030392872560074082	0.9490775179442731
bioscreen_strep_01	2	142	2	ANC_0403	256	NA	0.0836561132623962	0.09742820799793991	0.08681763954670518	14.999992726674627	0.03000441207906255	0.8853496535769669
