sample	strainID	f_metacal
T28_2_0	HAMBI_0403	0.07700513683097314
T28_2_0	HAMBI_1977	0.22357188476225504
T28_s_0	HAMBI_1287	0.036561319349760785
T28_s_0	HAMBI_0403	0.9362098430583216
T28_s_0	HAMBI_1977	0.02722883759191776
T29_1_0	HAMBI_1287	0.7379412944558927
T29_1_0	HAMBI_0403	5.616294533604719e-4
T29_1_0	HAMBI_1977	0.2614970760907468
T29_2_0	HAMBI_1287	0.7481463537449773
T29_2_0	HAMBI_1977	0.25185364625502266
T29_s_0	HAMBI_1287	0.685138948961914
T29_s_0	HAMBI_0403	0.2476736607524645
T29_s_0	HAMBI_1977	0.0671873902856215
T30_1_0	HAMBI_1287	0.7446728768699684
T30_1_0	HAMBI_1977	0.2553271231300316
T30_2_0	HAMBI_1287	0.7441555846397023
T30_2_0	HAMBI_0403	0.003955635905645377
T30_2_0	HAMBI_1977	0.2518887794546523
T30_s_0	HAMBI_1287	0.17106476619013028
T30_s_0	HAMBI_0403	0.28627889530836864
T30_s_0	HAMBI_1977	0.5426563385015011
T31_1_0	HAMBI_1287	0.09510689007457805
T31_1_0	HAMBI_0403	0.03949484328572362
T31_1_0	HAMBI_1977	0.8653982666396983
T31_2_0	HAMBI_1287	0.13993857914943145
T31_2_0	HAMBI_0403	0.03874133793951729
T31_2_0	HAMBI_1977	0.8213200829110513
T31_s_0	HAMBI_1287	0.08032429093857844
T31_s_0	HAMBI_0403	0.8796648940403134
T31_s_0	HAMBI_1977	0.04001081502110818
T32_1_0	HAMBI_1287	0.09250888578254966
T32_1_0	HAMBI_0403	7.62715880501067e-4
T32_1_0	HAMBI_1977	0.9067283983369493
T32_2_0	HAMBI_1287	0.14552109446683767
T32_2_0	HAMBI_0403	8.063949029104071e-4
T32_2_0	HAMBI_1977	0.853672510630252
T32_s_0	HAMBI_1287	0.7410971775328447
T32_s_0	HAMBI_0403	0.20845599923951633
T32_s_0	HAMBI_1977	0.05044682322763896
T33_1_0	HAMBI_1287	0.08672588294114301
T33_1_0	HAMBI_0403	0.034259928061411905
T33_1_0	HAMBI_1977	0.8790141889974451
T33_2_0	HAMBI_1287	0.12224031274263303
T33_2_0	HAMBI_0403	0.07042944098878817
T33_2_0	HAMBI_1977	0.8073302462685787
T33_s_0	HAMBI_1287	0.17271121729763877
T33_s_0	HAMBI_0403	0.2928625187932318
T33_s_0	HAMBI_1977	0.5344262639091295
T34_1_0	HAMBI_1287	0.14802530994455645
T34_1_0	HAMBI_0403	0.050415169041992426
T34_1_0	HAMBI_1977	0.8015595210134512
T34_2_0	HAMBI_1287	0.13473626930641863
T34_2_0	HAMBI_0403	0.019184441286644965
T34_2_0	HAMBI_1977	0.8460792894069364
T34_s_0	HAMBI_1287	0.07704866200529693
T34_s_0	HAMBI_0403	0.8955864281391972
