sample	strainID	f_metacal
P04_s_0	HAMBI_1896	0.04171021823793516
P05_1_0	HAMBI_0403	0.001528515432361427
P05_1_0	HAMBI_1287	0.9984714845676386
P05_1_16	HAMBI_0403	0.0032506471167634524
P05_1_16	HAMBI_1287	0.9967493528832366
P05_1_256	HAMBI_0403	0.0032285248156485044
P05_1_256	HAMBI_1287	0.9967714751843515
P05_1_64	HAMBI_0403	0.0016050017991126352
P05_1_64	HAMBI_1287	0.9983949982008874
P05_2_0	HAMBI_0403	0.0017716597988554398
P05_2_0	HAMBI_1287	0.9982283402011446
P05_2_16	HAMBI_0403	0.0059527329672302695
P05_2_16	HAMBI_1287	0.9940472670327698
P05_2_256	HAMBI_0403	0.003721074275979591
P05_2_256	HAMBI_1287	0.9962789257240204
P05_2_64	HAMBI_0403	0.002844503417258505
P05_2_64	HAMBI_1287	0.9971554965827415
P05_s_0	HAMBI_0403	0.9106863801711249
P05_s_0	HAMBI_1287	0.08931361982887497
P06_1_16	HAMBI_0403	0.8155642846780934
P06_1_16	HAMBI_1287	0.18443571532190667
P06_1_256	HAMBI_0403	0.018799985883769323
P06_1_256	HAMBI_1287	0.9812000141162307
P06_1_64	HAMBI_0403	0.003173577309978935
P06_1_64	HAMBI_1287	0.9968264226900211
P06_2_16	HAMBI_0403	0.9097552902730692
P06_2_16	HAMBI_1287	0.09024470972693088
P06_2_256	HAMBI_0403	0.007875779149390347
P06_2_256	HAMBI_1287	0.9921242208506097
P06_2_64	HAMBI_0403	0.004294609858116569
P06_2_64	HAMBI_1287	0.9957053901418834
P06_s_0	HAMBI_0403	0.9141394995069633
P06_s_0	HAMBI_1287	0.08586050049303666
P07_1_16	HAMBI_1977	0.006868556158432723
P07_1_16	HAMBI_0403	0.9931314438415672
P07_1_256	HAMBI_1977	0.0012959586216022387
P07_1_256	HAMBI_0403	0.9987040413783977
P07_2_256	HAMBI_1977	0.0016100869794945995
P07_2_256	HAMBI_0403	0.9983899130205054
P07_2_64	HAMBI_1977	0.0018438425132314533
P07_2_64	HAMBI_0403	0.9981561574867687
P07_s_0	HAMBI_1977	0.03707293695672646
P07_s_0	HAMBI_0403	0.9629270630432735
P08_1_0	HAMBI_1977	0.9604600680023718
P08_1_0	HAMBI_0403	0.03953993199762807
P08_1_16	HAMBI_1977	0.953430233545612
P08_1_16	HAMBI_0403	0.04656976645438796
P08_1_256	HAMBI_1977	0.7212573328685989
P08_1_256	HAMBI_0403	0.27874266713140095
P08_1_64	HAMBI_1977	0.9437629154377032
P08_1_64	HAMBI_0403	0.056237084562296744
P08_2_0	HAMBI_1977	0.9688645171824697
P08_2_0	HAMBI_0403	0.031135482817530438
P08_2_16	HAMBI_1977	0.9621093254429108
P08_2_16	HAMBI_0403	0.037890674557089145
P08_2_256	HAMBI_1977	0.9529441010475548
P08_2_256	HAMBI_0403	0.04705589895244528
P08_2_64	HAMBI_1977	0.9523623673965872
P08_2_64	HAMBI_0403	0.04763763260341288
P08_s_0	HAMBI_1977	0.03321440160615578
P08_s_0	HAMBI_0403	0.9667855983938443
