microcosm_id	n_species	well	evo_hist	strainID	target_f
88	3	H04	evo	HAMBI_1896	0.1
89	3	H05	evo	HAMBI_1287	0.1
89	3	H05	evo	HAMBI_1977	0.1
89	3	H05	anc	HAMBI_1896	0.8
90	3	H06	evo	HAMBI_1287	0.1
90	3	H06	evo	HAMBI_1977	0.1
90	3	H06	evo	HAMBI_1896	0.8
91	3	H07	evo	HAMBI_1287	0.1
91	3	H07	evo	HAMBI_1977	0.8
91	3	H07	anc	HAMBI_1896	0.1
92	3	H08	evo	HAMBI_1287	0.1
92	3	H08	evo	HAMBI_1977	0.8
92	3	H08	evo	HAMBI_1896	0.1
93	3	H09	evo	HAMBI_1287	0.8
93	3	H09	anc	HAMBI_1977	0.1
93	3	H09	anc	HAMBI_1896	0.1
94	3	H10	evo	HAMBI_1287	0.8
94	3	H10	anc	HAMBI_1977	0.1
94	3	H10	evo	HAMBI_1896	0.1
95	3	H11	evo	HAMBI_1287	0.8
95	3	H11	evo	HAMBI_1977	0.1
95	3	H11	anc	HAMBI_1896	0.1
96	3	H12	evo	HAMBI_1287	0.8
96	3	H12	evo	HAMBI_1977	0.1
96	3	H12	evo	HAMBI_1896	0.1
