microcosm_id	well	a	a_sp	a_f	b	b_sp	b_f	c	c_sp	c_f	d	d_sp	d_f
8	E08	ANC_0403_10	0403A	10	ANC_1287_10	1287A	10	EVO_1896_70	1896E	70	EVO_1977_10	1977E	10
13	E09	ANC_0403_10	0403A	10	EVO_1287_10	1287E	10	ANC_1896_10	1896A	10	ANC_1977_70	1977A	70
14	E10	ANC_0403_10	0403A	10	EVO_1287_10	1287E	10	ANC_1896_10	1896A	10	EVO_1977_70	1977E	70
17	E11	ANC_0403_10	0403A	10	EVO_1287_10	1287E	10	EVO_1896_10	1896E	10	ANC_1977_70	1977A	70
18	E12	ANC_0403_10	0403A	10	EVO_1287_10	1287E	10	EVO_1896_10	1896E	10	EVO_1977_70	1977E	70
33	F01	EVO_0403_10	0403E	10	ANC_1287_10	1287A	10	ANC_1896_10	1896A	10	ANC_1977_70	1977A	70
34	F02	EVO_0403_10	0403E	10	ANC_1287_10	1287A	10	ANC_1896_10	1896A	10	EVO_1977_70	1977E	70
37	F03	EVO_0403_10	0403E	10	ANC_1287_10	1287A	10	EVO_1896_10	1896E	10	ANC_1977_70	1977A	70
38	F04	EVO_0403_10	0403E	10	ANC_1287_10	1287A	10	EVO_1896_10	1896E	10	EVO_1977_70	1977E	70
35	F05	EVO_0403_10	0403E	10	ANC_1287_10	1287A	10	ANC_1896_70	1896A	70	ANC_1977_10	1977A	10
36	F06	EVO_0403_10	0403E	10	ANC_1287_10	1287A	10	ANC_1896_70	1896A	70	EVO_1977_10	1977E	10
39	F07	EVO_0403_10	0403E	10	ANC_1287_10	1287A	10	EVO_1896_70	1896E	70	ANC_1977_10	1977A	10
40	F08	EVO_0403_10	0403E	10	ANC_1287_10	1287A	10	EVO_1896_70	1896E	70	EVO_1977_10	1977E	10
45	F09	EVO_0403_10	0403E	10	EVO_1287_10	1287E	10	ANC_1896_10	1896A	10	ANC_1977_70	1977A	70
46	F10	EVO_0403_10	0403E	10	EVO_1287_10	1287E	10	ANC_1896_10	1896A	10	EVO_1977_70	1977E	70
49	F11	EVO_0403_10	0403E	10	EVO_1287_10	1287E	10	EVO_1896_10	1896E	10	ANC_1977_70	1977A	70
50	F12	EVO_0403_10	0403E	10	EVO_1287_10	1287E	10	EVO_1896_10	1896E	10	EVO_1977_70	1977E	70
