sample	evo_hist	strainID	target_f
3_p01_D04	evo	HAMBI_1287	0.1
3_p01_D04	evo	HAMBI_1977	0.8
3_p01_D05	evo	HAMBI_0403	0.1
3_p01_D05	evo	HAMBI_1287	0.8
3_p01_D05	anc	HAMBI_1896	0.1
3_p01_D06	evo	HAMBI_0403	0.1
3_p01_D06	evo	HAMBI_1287	0.8
3_p01_D06	anc	HAMBI_1977	0.1
3_p01_D07	evo	HAMBI_0403	0.1
3_p01_D07	evo	HAMBI_1287	0.8
3_p01_D07	evo	HAMBI_1896	0.1
3_p01_D08	evo	HAMBI_0403	0.1
3_p01_D08	evo	HAMBI_1287	0.8
3_p01_D08	evo	HAMBI_1977	0.1
3_p01_D09	evo	HAMBI_0403	0.1
3_p01_D09	evo	HAMBI_1977	0.1
3_p01_D09	anc	HAMBI_1896	0.8
3_p01_D10	evo	HAMBI_0403	0.1
3_p01_D10	evo	HAMBI_1977	0.1
3_p01_D10	evo	HAMBI_1896	0.8
3_p01_D11	evo	HAMBI_0403	0.1
3_p01_D11	evo	HAMBI_1977	0.8
3_p01_D11	anc	HAMBI_1896	0.1
3_p01_D12	evo	HAMBI_0403	0.1
3_p01_D12	evo	HAMBI_1977	0.8
3_p01_D12	evo	HAMBI_1896	0.1
3_p01_F01	evo	HAMBI_0403	0.8
3_p01_F01	anc	HAMBI_1287	0.1
3_p01_F01	anc	HAMBI_1896	0.1
3_p01_F02	evo	HAMBI_0403	0.8
3_p01_F02	anc	HAMBI_1287	0.1
3_p01_F02	anc	HAMBI_1977	0.1
3_p01_F03	evo	HAMBI_0403	0.8
3_p01_F03	anc	HAMBI_1287	0.1
3_p01_F03	evo	HAMBI_1896	0.1
3_p01_F04	evo	HAMBI_0403	0.8
3_p01_F04	anc	HAMBI_1287	0.1
3_p01_F04	evo	HAMBI_1977	0.1
3_p01_F05	evo	HAMBI_0403	0.8
3_p01_F05	anc	HAMBI_1977	0.1
3_p01_F05	anc	HAMBI_1896	0.1
3_p01_F06	evo	HAMBI_0403	0.8
3_p01_F06	anc	HAMBI_1977	0.1
3_p01_F06	evo	HAMBI_1896	0.1
3_p01_F07	evo	HAMBI_0403	0.8
3_p01_F07	evo	HAMBI_1287	0.1
3_p01_F07	anc	HAMBI_1896	0.1
3_p01_F08	evo	HAMBI_0403	0.8
3_p01_F08	evo	HAMBI_1287	0.1
3_p01_F08	anc	HAMBI_1977	0.1
3_p01_F09	evo	HAMBI_0403	0.8
3_p01_F09	evo	HAMBI_1287	0.1
3_p01_F09	evo	HAMBI_1896	0.1
3_p01_F10	evo	HAMBI_0403	0.8
3_p01_F10	evo	HAMBI_1287	0.1
3_p01_F10	evo	HAMBI_1977	0.1
3_p01_F11	evo	HAMBI_0403	0.8
3_p01_F11	evo	HAMBI_1977	0.1
3_p01_F11	anc	HAMBI_1896	0.1
3_p01_F12	evo	HAMBI_0403	0.8
3_p01_F12	evo	HAMBI_1977	0.1
3_p01_F12	evo	HAMBI_1896	0.1
3_p01_H01	evo	HAMBI_1287	0.1
3_p01_H01	anc	HAMBI_1977	0.1
3_p01_H01	anc	HAMBI_1896	0.8
3_p01_H02	evo	HAMBI_1287	0.1
3_p01_H02	anc	HAMBI_1977	0.1
3_p01_H02	evo	HAMBI_1896	0.8
3_p01_H03	evo	HAMBI_1287	0.1
3_p01_H03	anc	HAMBI_1977	0.8
3_p01_H03	anc	HAMBI_1896	0.1
3_p01_H04	evo	HAMBI_1287	0.1
3_p01_H04	anc	HAMBI_1977	0.8
3_p01_H04	evo	HAMBI_1896	0.1
3_p01_H05	evo	HAMBI_1287	0.1
3_p01_H05	evo	HAMBI_1977	0.1
3_p01_H05	anc	HAMBI_1896	0.8
3_p01_H06	evo	HAMBI_1287	0.1
3_p01_H06	evo	HAMBI_1977	0.1
3_p01_H06	evo	HAMBI_1896	0.8
3_p01_H07	evo	HAMBI_1287	0.1
3_p01_H07	evo	HAMBI_1977	0.8
3_p01_H07	anc	HAMBI_1896	0.1
3_p01_H08	evo	HAMBI_1287	0.1
3_p01_H08	evo	HAMBI_1977	0.8
3_p01_H08	evo	HAMBI_1896	0.1
3_p01_H09	evo	HAMBI_1287	0.8
3_p01_H09	anc	HAMBI_1977	0.1
3_p01_H09	anc	HAMBI_1896	0.1
3_p01_H10	evo	HAMBI_1287	0.8
3_p01_H10	anc	HAMBI_1977	0.1
3_p01_H10	evo	HAMBI_1896	0.1
3_p01_H11	evo	HAMBI_1287	0.8
