transfers	n_species	community_id	strep_conc	replicate	OD
1	2	P09	16	2	0.354
3	2	P09	16	2	0.277
5	2	P09	16	2	0.296
7	2	P09	16	2	0.292
8	2	P09	16	2	0.281
1	2	P09	64	1	0.328
3	2	P09	64	1	0.267
5	2	P09	64	1	0.293
7	2	P09	64	1	0.284
8	2	P09	64	1	0.276
1	2	P09	64	2	0.33
3	2	P09	64	2	0.268
5	2	P09	64	2	0.266
7	2	P09	64	2	0.291
8	2	P09	64	2	0.259
1	2	P09	256	1	0.315
3	2	P09	256	1	0.241
5	2	P09	256	1	0.298
7	2	P09	256	1	0.287
8	2	P09	256	1	0.281
1	2	P09	256	2	0.371
3	2	P09	256	2	0.259
5	2	P09	256	2	0.292
7	2	P09	256	2	0.282
8	2	P09	256	2	0.247
1	2	P10	0	1	0.384
3	2	P10	0	1	0.265
5	2	P10	0	1	0.278
7	2	P10	0	1	0.288
8	2	P10	0	1	0.264
1	2	P10	0	2	0.397
3	2	P10	0	2	0.255
5	2	P10	0	2	0.273
7	2	P10	0	2	0.266
8	2	P10	0	2	0.252
1	2	P10	16	1	0.37
3	2	P10	16	1	0.268
5	2	P10	16	1	0.279
7	2	P10	16	1	0.256
8	2	P10	16	1	0.278
1	2	P10	16	2	0.364
3	2	P10	16	2	0.268
5	2	P10	16	2	0.288
7	2	P10	16	2	0.279
8	2	P10	16	2	0.258
1	2	P10	64	1	0.352
3	2	P10	64	1	0.27
5	2	P10	64	1	0.267
7	2	P10	64	1	0.266
8	2	P10	64	1	0.259
1	2	P10	64	2	0.343
3	2	P10	64	2	0.256
5	2	P10	64	2	0.257
7	2	P10	64	2	0.273
8	2	P10	64	2	0.256
1	2	P10	256	1	0.348
3	2	P10	256	1	0.254
5	2	P10	256	1	0.272
7	2	P10	256	1	0.272
8	2	P10	256	1	0.267
1	2	P10	256	2	0.374
3	2	P10	256	2	0.26
5	2	P10	256	2	0.281
7	2	P10	256	2	0.268
8	2	P10	256	2	0.275
1	2	P11	0	1	0.989
3	2	P11	0	1	0.276
5	2	P11	0	1	0.296
7	2	P11	0	1	0.302
8	2	P11	0	1	0.288
1	2	P11	0	2	0.984
3	2	P11	0	2	0.285
5	2	P11	0	2	0.297
7	2	P11	0	2	0.297
8	2	P11	0	2	0.278
1	2	P11	16	1	0.795
3	2	P11	16	1	0.279
5	2	P11	16	1	0.303
7	2	P11	16	1	0.296
8	2	P11	16	1	0.283
1	2	P11	16	2	0.844
3	2	P11	16	2	0.276
5	2	P11	16	2	0.296
7	2	P11	16	2	0.292
8	2	P11	16	2	0.275
1	2	P11	64	1	0.882
3	2	P11	64	1	0.28
5	2	P11	64	1	0.286
7	2	P11	64	1	0.283
8	2	P11	64	1	0.275
1	2	P11	64	2	0.717
3	2	P11	64	2	0.277
5	2	P11	64	2	0.281
7	2	P11	64	2	0.294
8	2	P11	64	2	0.27
1	2	P11	256	1	0.785
3	2	P11	256	1	0.247
5	2	P11	256	1	0.284
7	2	P11	256	1	0.288
8	2	P11	256	1	0.289
1	2	P11	256	2	0.886
3	2	P11	256	2	0.208
5	2	P11	256	2	0.284
7	2	P11	256	2	0.277
8	2	P11	256	2	0.29
1	2	P12	0	1	0.592
3	2	P12	0	1	0.275
5	2	P12	0	1	0.295
7	2	P12	0	1	0.287
8	2	P12	0	1	0.28
1	2	P12	0	2	0.716
3	2	P12	0	2	0.276
5	2	P12	0	2	0.223
7	2	P12	0	2	0.224
8	2	P12	0	2	0.261
1	2	P12	16	1	0.595
3	2	P12	16	1	0.279
5	2	P12	16	1	0.285
7	2	P12	16	1	0.265
